SiteId,SiteName,County,ItemId,ItemName,ItemEngName,ItemUnit,MonitorDate,Concentration
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-03 11:00:00,.2
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-03 11:00:00,45
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-03 11:00:00,2.33
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-03 11:00:00,122
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-03 11:00:00,63.9
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-03 11:00:00,.26
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-03 10:00:00,.25
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-03 10:00:00,45
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-03 10:00:00,2.37
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-03 10:00:00,122
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-03 10:00:00,63.7
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-03 10:00:00,.2
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-03 09:00:00,.26
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-03 09:00:00,47
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-03 09:00:00,2.04
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-03 09:00:00,121
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-03 09:00:00,63.7
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-03 09:00:00,.2
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-03 08:00:00,.26
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-03 08:00:00,43
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-03 08:00:00,2.09
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-03 08:00:00,119
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-03 08:00:00,65.5
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-03 08:00:00,.3
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-03 07:00:00,.29
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-03 07:00:00,48
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-03 07:00:00,2.29
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-03 07:00:00,107
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-03 07:00:00,65.8
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-03 07:00:00,.3
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-03 06:00:00,.3
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-03 06:00:00,53
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-03 06:00:00,2.4
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-03 06:00:00,99
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-03 06:00:00,67.8
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-03 06:00:00,.33
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-03 05:00:00,.2
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-03 05:00:00,47
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-03 05:00:00,2.27
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-03 05:00:00,98
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-03 05:00:00,68.1
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-03 05:00:00,.33
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-03 04:00:00,.26
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-03 04:00:00,22
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-03 04:00:00,2.67
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-03 04:00:00,61
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-03 04:00:00,64.3
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-03 04:00:00,.1
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-03 03:00:00,.27
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-03 03:00:00,23
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-03 03:00:00,2.54
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-03 03:00:00,53
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-03 03:00:00,64.6
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-03 03:00:00,.1
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-03 02:00:00,.25
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-03 02:00:00,21
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-03 02:00:00,1.77
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-03 02:00:00,50
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-03 02:00:00,66.4
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-03 02:00:00,.1
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-03 01:00:00,.23
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-03 01:00:00,15
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-03 01:00:00,1.76
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-03 01:00:00,42
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-03 01:00:00,65.5
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-03 01:00:00,.1
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-03 00:00:00,.22
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-03 00:00:00,27
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-03 00:00:00,2.02
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-03 00:00:00,63
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-03 00:00:00,66.9
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-03 00:00:00,0
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 23:00:00,58
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 23:00:00,24
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 23:00:00,2.04
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 23:00:00,67.5
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 23:00:00,.21
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 23:00:00,0
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 22:00:00,2.49
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 22:00:00,52
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 22:00:00,0
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 22:00:00,66.7
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 22:00:00,.21
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 22:00:00,18
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 21:00:00,59
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 21:00:00,25
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 21:00:00,0
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 21:00:00,.23
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 21:00:00,69.2
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 21:00:00,2.26
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 20:00:00,49
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 20:00:00,0
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 20:00:00,.22
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 20:00:00,21
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 20:00:00,2.18
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 20:00:00,69.6
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 19:00:00,.21
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 19:00:00,0
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 19:00:00,20
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 19:00:00,46
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 19:00:00,2.13
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 19:00:00,69.1
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 18:00:00,44
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 18:00:00,20
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 18:00:00,0
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 18:00:00,.15
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 18:00:00,65.7
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 18:00:00,1.8
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 17:00:00,0
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 17:00:00,18
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 17:00:00,1.25
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 17:00:00,39
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 17:00:00,63.1
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 17:00:00,.13
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 16:00:00,49
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 16:00:00,12
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 16:00:00,.81
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 16:00:00,55.4
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 16:00:00,.12
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 16:00:00,0
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 15:00:00,43
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 15:00:00,.12
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 15:00:00,0
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 15:00:00,12
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 15:00:00,.51
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 15:00:00,52.9
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 14:00:00,11
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 14:00:00,0
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 14:00:00,.11
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 14:00:00,51.3
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 14:00:00,42
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 14:00:00,.54
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 13:00:00,0
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 13:00:00,.59
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 13:00:00,39
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 13:00:00,14
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 13:00:00,53.5
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 13:00:00,.11
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 12:00:00,.11
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 12:00:00,11
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 12:00:00,.81
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 12:00:00,36
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 12:00:00,51.2
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 12:00:00,0
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 11:00:00,.45
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 11:00:00,50.7
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 11:00:00,.11
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 11:00:00,0
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 11:00:00,15
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 11:00:00,36
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 10:00:00,0
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 10:00:00,.1
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 10:00:00,49.4
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 10:00:00,29
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 10:00:00,2.01
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 10:00:00,15
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 09:00:00,49.6
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 09:00:00,.11
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 09:00:00,.1
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 09:00:00,10
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 09:00:00,2.6
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 09:00:00,32
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 08:00:00,.11
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 08:00:00,11
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 08:00:00,2.55
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 08:00:00,34
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 08:00:00,48.9
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 08:00:00,.1
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 07:00:00,0
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 07:00:00,13
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 07:00:00,.63
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 07:00:00,31
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 07:00:00,49.8
84,富貴角,新北市,2,一氧化碳,CO,ppm,2020-11-02 07:00:00,.11
84,富貴角,新北市,1,二氧化硫,SO2,ppb,2020-11-02 06:00:00,0
84,富貴角,新北市,3,臭氧,O3,ppb,2020-11-02 06:00:00,49.4
84,富貴角,新北市,4,懸浮微粒,PM10,μg/m3,2020-11-02 06:00:00,33
84,富貴角,新北市,7,二氧化氮,NO2,ppb,2020-11-02 06:00:00,.91
84,富貴角,新北市,33,細懸浮微粒,PM2.5,μg/m3,2020-11-02 06:00:00,7
